wafer_entity_start_date,ENT,Layer,Revison,Coater,zone,chart_value,
16/11/2021 21:40,TB207,6300,Rev A,3,2,5.333333333,
16/11/2021 21:40,TB207,6300,Rev A,3,-2,1395.373333,
16/11/2021 21:40,TB207,6300,Rev A,4,2,5.473333333,
16/11/2021 21:40,TB207,6300,Rev A,4,-1,1395.933333,
19/11/2021 08:06,TB207,4500,Rev C,4,2,5.74,
19/11/2021 08:06,TB207,4500,Rev C,4,-1,998.9133333,
19/11/2021 08:06,TB207,4500,Rev C,3,1,4.646666667,
19/11/2021 08:06,TB207,4500,Rev C,3,-1,998.8733333,
21/11/2021 21:14,TB207,4500,Rev A,3,999,4.22,
21/11/2021 21:14,TB207,4500,Rev A,3,3,1004.84,
21/11/2021 22:20,TB207,4500,Rev C,3,999,3.786666667,
21/11/2021 22:20,TB207,4500,Rev C,3,3,1005.3,
21/11/2021 22:23,TB207,4500,Rev C,4,999,4.2,
21/11/2021 22:23,TB207,4500,Rev C,4,4,1006.913333,
21/11/2021 22:24,TB207,4500,Rev A,3,999,3.64,
21/11/2021 22:24,TB207,4500,Rev A,3,2,1003.186667,
21/11/2021 22:32,TB207,4500,Rev A,4,1,5.106666667,
21/11/2021 22:32,TB207,4500,Rev A,4,2,1003.526667,
21/11/2021 23:14,TB207,4500,Rev C,3,999,4,
21/11/2021 23:14,TB207,4500,Rev C,3,3,1005.153333,
21/11/2021 23:15,TB207,4500,Rev C,4,999,3.88,
21/11/2021 23:15,TB207,4500,Rev C,4,2,1004.333333,
22/11/2021 00:10,TB207,4500,Rev A,3,999,4.04,
22/11/2021 00:10,TB207,4500,Rev A,3,2,1002.42,
24/11/2021 13:34,TB207,6300,Rev A,3,2,5.646666667,
24/11/2021 13:34,TB207,6300,Rev A,3,-1,1397.186667,
24/11/2021 13:35,TB207,6300,Rev A,4,1,4.96,
24/11/2021 13:35,TB207,6300,Rev A,4,-2,1394.273333,
24/11/2021 14:17,TB207,8400,Rev A,3,999,7.113333333,
24/11/2021 14:17,TB207,8400,Rev A,3,1,1867.4,
24/11/2021 14:17,TB207,8400,Rev A,4,999,6.34,
24/11/2021 14:17,TB207,8400,Rev A,4,2,1873.546667,
24/11/2021 14:25,TB207,4500,Rev A,3,999,4.113333333,
24/11/2021 14:25,TB207,4500,Rev A,3,-2,997.0666667,
24/11/2021 14:28,TB207,4500,Rev A,4,999,4.166666667,
24/11/2021 14:28,TB207,4500,Rev A,4,1,1001.566667,
24/11/2021 14:36,TB207,6300,Rev A,4,2,5.226666667,
24/11/2021 14:36,TB207,6300,Rev A,4,-2,1393.733333,
24/11/2021 17:08,TB207,4500,Rev A,3,999,3.993333333,
24/11/2021 17:08,TB207,4500,Rev A,3,1,1002.02,
24/11/2021 17:15,TB207,8400,Rev A,4,1,7.653333333,
24/11/2021 17:15,TB207,8400,Rev A,4,1,1870.346667,
24/11/2021 21:09,TB207,8400,Rev A,3,1,8.3,
24/11/2021 21:09,TB207,8400,Rev A,3,1,1872.94,
24/11/2021 21:10,TB207,8400,Rev A,4,999,7.226666667,
24/11/2021 21:10,TB207,8400,Rev A,4,1,1870.5,
24/11/2021 22:32,TB207,8400,Rev C,4,1,8.34,
24/11/2021 22:32,TB207,8400,Rev C,4,2,1877.473333,
24/11/2021 22:32,TB207,8400,Rev C,3,2,9.006666667,
24/11/2021 22:32,TB207,8400,Rev C,3,2,1875.04,
30/11/2021 10:08,TB207,4500,Rev A,3,999,4.18,
30/11/2021 10:08,TB207,4500,Rev A,3,4,1006.993333,
30/11/2021 10:09,TB207,4500,Rev C,3,1,4.526666667,
30/11/2021 10:09,TB207,4500,Rev C,3,3,1005.293333,
30/11/2021 10:10,TB207,4500,Rev A,4,999,3.02,
30/11/2021 10:10,TB207,4500,Rev A,4,3,1005.666667,
30/11/2021 10:19,TB207,4500,Rev C,4,999,4.193333333,
30/11/2021 10:19,TB207,4500,Rev C,4,3,1004.986667,
30/11/2021 11:46,TB207,4500,Rev C,3,999,4.106666667,
30/11/2021 11:46,TB207,4500,Rev C,3,4,1009.433333,
30/11/2021 11:58,TB207,4500,Rev C,4,999,3.673333333,
30/11/2021 11:58,TB207,4500,Rev C,4,4,1008.973333,
30/11/2021 11:59,TB207,4500,Rev A,3,999,4.073333333,
30/11/2021 11:59,TB207,4500,Rev A,3,2,1003.54,
30/11/2021 12:02,TB207,4500,Rev A,4,999,3.833333333,
30/11/2021 12:02,TB207,4500,Rev A,4,3,1005.04,
30/11/2021 15:07,TB207,4500,Rev A,3,1,4.546666667,
30/11/2021 15:07,TB207,4500,Rev A,3,2,1002.413333,
30/11/2021 15:07,TB207,4500,Rev C,3,1,5.08,
30/11/2021 15:07,TB207,4500,Rev C,3,3,1005.64,
30/11/2021 15:10,TB207,4500,Rev A,4,999,4.226666667,
30/11/2021 15:10,TB207,4500,Rev A,4,1,1001.02,
30/11/2021 15:18,TB207,4500,Rev C,4,999,3.933333333,
30/11/2021 15:18,TB207,4500,Rev C,4,2,1002.58,
30/11/2021 16:09,TB207,4500,Rev A,3,999,4.32,
30/11/2021 16:09,TB207,4500,Rev A,3,1,1001.5,
30/11/2021 16:09,TB207,4500,Rev C,3,1,4.86,
30/11/2021 16:09,TB207,4500,Rev C,3,1,1001.726667,
02/12/2021 09:31,TB207,6300,Rev A,4,2,5.566666667,
02/12/2021 09:31,TB207,6300,Rev A,4,-3,1390.986667,
02/12/2021 11:44,TB207,6300,Rev A,3,2,5.853333333,
02/12/2021 11:44,TB207,6300,Rev A,3,-2,1392.66,
02/12/2021 11:56,TB207,6300,Rev A,4,2,5.14,
02/12/2021 11:56,TB207,6300,Rev A,4,-4,1382.98,
02/12/2021 12:05,TB207,8400,Rev A,3,2,9.293333333,
02/12/2021 12:05,TB207,8400,Rev A,3,-1,1864.513333,
02/12/2021 12:41,TB207,6300,Rev A,4,3,5.96,
02/12/2021 12:41,TB207,6300,Rev A,4,-4,1383.753333,
02/12/2021 12:47,TB207,8400,Rev A,4,999,6.5,
02/12/2021 12:47,TB207,8400,Rev A,4,-2,1858.866667,
02/12/2021 14:40,TB207,6300,Rev A,4,3,6.08,
02/12/2021 14:40,TB207,6300,Rev A,4,-3,1391.026667,
02/12/2021 15:22,TB207,6300,Rev A,4,2,5.54,
02/12/2021 15:22,TB207,6300,Rev A,4,1,1401.673333,
02/12/2021 21:06,TB207,6300,Rev A,3,1,4.573333333,
02/12/2021 21:06,TB207,6300,Rev A,3,2,1406.093333,
02/12/2021 21:14,TB207,6300,Rev A,4,3,6.02,
02/12/2021 21:14,TB207,6300,Rev A,4,1,1402.453333,
02/12/2021 21:19,TB207,6300,Rev C,3,3,6.066666667,
02/12/2021 21:19,TB207,6300,Rev C,3,1,1401.233333,
02/12/2021 21:21,TB207,6300,Rev C,4,3,6.086666667,
02/12/2021 21:21,TB207,6300,Rev C,4,1,1402.98,
08/12/2021 07:16,TB207,4500,Rev C,4,1,4.433333333,
08/12/2021 07:16,TB207,4500,Rev C,4,-1,999.3,
08/12/2021 07:20,TB207,4500,Rev A,3,999,3.546666667,
08/12/2021 07:20,TB207,4500,Rev A,3,-3,995.4533333,
08/12/2021 07:27,TB207,4500,Rev C,3,999,4.026666667,
08/12/2021 07:27,TB207,4500,Rev C,3,-2,996.2,
08/12/2021 07:35,TB207,4500,Rev A,4,999,3.013333333,
08/12/2021 07:35,TB207,4500,Rev A,4,-1,999.2933333,
08/12/2021 08:49,TB207,4500,Rev A,3,999,4.273333333,
08/12/2021 08:49,TB207,4500,Rev A,3,-2,995.64,
09/12/2021 17:53,TB207,4500,Rev A,4,999,3.753333333,
09/12/2021 17:53,TB207,4500,Rev A,4,1,1001.346667,
09/12/2021 17:53,TB207,4500,Rev A,3,999,4.08,
09/12/2021 17:53,TB207,4500,Rev A,3,-2,996.1,
09/12/2021 18:29,TB207,6300,Rev A,3,1,4.813333333,
09/12/2021 18:29,TB207,6300,Rev A,3,-3,1389.713333,
09/12/2021 18:29,TB207,6300,Rev A,4,1,5.073333333,
09/12/2021 18:29,TB207,6300,Rev A,4,-3,1389.653333,
09/12/2021 18:37,TB207,8400,Rev A,3,1,8.053333333,
09/12/2021 18:37,TB207,8400,Rev A,3,-1,1860.253333,
09/12/2021 18:39,TB207,8400,Rev A,4,1,7.44,
09/12/2021 18:39,TB207,8400,Rev A,4,-2,1856.76,
09/12/2021 20:19,TB207,6300,Rev A,3,1,4.806666667,
09/12/2021 20:19,TB207,6300,Rev A,3,-3,1388.886667,
09/12/2021 20:22,TB207,6300,Rev A,4,999,4.306666667,
09/12/2021 20:22,TB207,6300,Rev A,4,-2,1391.68,
09/12/2021 22:03,TB207,6300,Rev A,3,2,5.2,
09/12/2021 22:03,TB207,6300,Rev A,3,-1,1396.62,
09/12/2021 22:04,TB207,6300,Rev C,3,999,3.993333333,
09/12/2021 22:04,TB207,6300,Rev C,3,1,1400.06,
10/12/2021 22:30,TB207,8400,Rev C,3,999,6.626666667,
10/12/2021 22:30,TB207,8400,Rev C,3,2,1877.113333,
10/12/2021 22:30,TB207,8400,Rev C,4,999,6.08,
10/12/2021 22:30,TB207,8400,Rev C,4,2,1877.306667,
16/12/2021 00:19,TB207,4500,Rev A,3,999,4.173333333,
16/12/2021 00:19,TB207,4500,Rev A,3,1,1001.833333,
16/12/2021 00:19,TB207,4500,Rev A,4,999,4.02,
16/12/2021 00:19,TB207,4500,Rev A,4,-1,998.44,
16/12/2021 00:23,TB207,4500,Rev C,3,999,3.993333333,
16/12/2021 00:23,TB207,4500,Rev C,3,1,1000.753333,
16/12/2021 00:31,TB207,4500,Rev C,4,999,4.206666667,
16/12/2021 00:31,TB207,4500,Rev C,4,1,1001.593333,
18/12/2021 21:07,TB207,6300,Rev A,3,4,6.773333333,
18/12/2021 21:07,TB207,6300,Rev A,3,1,1401.673333,
18/12/2021 21:07,TB207,6300,Rev A,4,1,4.926666667,
18/12/2021 21:07,TB207,6300,Rev A,4,-2,1395.306667,
18/12/2021 21:18,TB207,6300,Rev C,3,3,6.513333333,
18/12/2021 21:18,TB207,6300,Rev C,3,1,1404.033333,
18/12/2021 21:21,TB207,6300,Rev C,4,1,4.766666667,
18/12/2021 21:21,TB207,6300,Rev C,4,1,1400.626667,
18/12/2021 21:35,TB207,6300,Rev A,3,2,5.626666667,
18/12/2021 21:35,TB207,6300,Rev A,3,1,1404.22,
18/12/2021 21:45,TB207,6300,Rev A,3,4,7.173333333,
18/12/2021 21:45,TB207,6300,Rev A,3,1,1401.86,
18/12/2021 22:32,TB207,6300,Rev A,3,4,6.96,
18/12/2021 22:32,TB207,6300,Rev A,3,1,1402.606667,
18/12/2021 23:02,TB207,8400,Rev A,3,2,8.64,
18/12/2021 23:02,TB207,8400,Rev A,3,2,1876.02,
18/12/2021 23:11,TB207,6300,Rev A,3,3,6.073333333,
18/12/2021 23:11,TB207,6300,Rev A,3,1,1402.146667,
18/12/2021 23:19,TB207,6300,Rev C,3,3,6.473333333,
18/12/2021 23:19,TB207,6300,Rev C,3,2,1406.82,
18/12/2021 23:25,TB207,8400,Rev C,3,1,7.773333333,
18/12/2021 23:25,TB207,8400,Rev C,3,1,1873.053333,
20/12/2021 15:14,TB207,4500,Rev A,3,1,4.693333333,
20/12/2021 15:14,TB207,4500,Rev A,3,-2,995.6333333,
20/12/2021 15:14,TB207,4500,Rev C,3,2,5.7,
20/12/2021 15:14,TB207,4500,Rev C,3,-2,996.02,
20/12/2021 15:20,TB207,4500,Rev A,4,999,2.34,
20/12/2021 15:20,TB207,4500,Rev A,4,-2,997.3533333,
20/12/2021 15:27,TB207,4500,Rev C,4,999,3.733333333,
20/12/2021 15:27,TB207,4500,Rev C,4,-1,998.0933333,
24/12/2021 02:28,TB207,4500,Rev A,4,1,4.54,
24/12/2021 02:28,TB207,4500,Rev A,4,1,1001.34,
24/12/2021 02:28,TB207,4500,Rev C,4,1,4.566666667,
24/12/2021 02:28,TB207,4500,Rev C,4,1,1000.073333,
24/12/2021 02:31,TB207,4500,Rev C,3,999,3.76,
24/12/2021 02:31,TB207,4500,Rev C,3,-1,999.3333333,
24/12/2021 03:38,TB207,4500,Rev A,3,999,3.793333333,
24/12/2021 03:38,TB207,4500,Rev A,3,1,1000.973333,
24/12/2021 06:08,TB207,4500,Rev C,3,1,4.746666667,
24/12/2021 06:08,TB207,4500,Rev C,3,-1,999.38,
24/12/2021 06:09,TB207,4500,Rev C,4,999,3.5,
24/12/2021 06:09,TB207,4500,Rev C,4,1,1001.346667,
17/11/2021 02:16,TB207,13800,Rev C,3,999,13.21333333,
17/11/2021 02:16,TB207,13800,Rev C,3,-1,3059.693333,
19/11/2021 08:07,TB207,13800,Rev C,4,1,16.08666667,
19/11/2021 08:07,TB207,13800,Rev C,4,1,3067.246667,
19/11/2021 08:07,TB207,13800,Rev C,3,999,13.5,
19/11/2021 08:07,TB207,13800,Rev C,3,-1,3060.673333,
20/11/2021 09:25,TB207,13800,Rev A,3,999,12.82,
20/11/2021 09:25,TB207,13800,Rev A,3,-3,3048.006667,
20/11/2021 09:25,TB207,13800,Rev A,4,999,13.84666667,
20/11/2021 09:25,TB207,13800,Rev A,4,-1,3065.133333,
20/11/2021 10:17,TB207,13800,Rev C,3,999,13.50666667,
20/11/2021 10:17,TB207,13800,Rev C,3,-1,3058.22,
20/11/2021 10:17,TB207,13800,Rev C,4,999,14.77333333,
20/11/2021 10:17,TB207,13800,Rev C,4,1,3074.286667,
20/11/2021 10:28,TB207,13800,Rev A,3,999,14.7,
20/11/2021 10:28,TB207,13800,Rev A,3,-2,3052.793333,
21/11/2021 09:22,TB207,8400,Rev A,3,999,5.353333333,
21/11/2021 09:22,TB207,8400,Rev A,3,2,1875.94,
21/11/2021 09:22,TB207,8400,Rev A,4,999,5.966666667,
21/11/2021 09:22,TB207,8400,Rev A,4,1,1869.333333,
28/11/2021 10:02,TB207,13800,Rev C,3,999,13.79333333,
28/11/2021 10:02,TB207,13800,Rev C,3,-1,3060.04,
28/11/2021 10:03,TB207,13800,Rev C,4,999,13.96,
28/11/2021 10:03,TB207,13800,Rev C,4,1,3073.346667,
30/11/2021 01:27,TB207,6300,Rev A,3,999,3.933333333,
30/11/2021 01:27,TB207,6300,Rev A,3,3,1409.646667,
30/11/2021 01:28,TB207,6300,Rev A,4,1,4.46,
30/11/2021 01:28,TB207,6300,Rev A,4,2,1407.426667,
30/11/2021 01:35,TB207,8400,Rev A,4,1,7.64,
30/11/2021 01:35,TB207,8400,Rev A,4,2,1879.98,
30/11/2021 02:22,TB207,6300,Rev A,3,1,4.493333333,
30/11/2021 02:22,TB207,6300,Rev A,3,2,1404.9,
30/11/2021 02:47,TB207,6300,Rev C,3,999,4.113333333,
30/11/2021 02:47,TB207,6300,Rev C,3,3,1410.413333,
30/11/2021 02:53,TB207,8400,Rev C,3,1,8.313333333,
30/11/2021 02:53,TB207,8400,Rev C,3,2,1878.86,
30/11/2021 02:53,TB207,8400,Rev C,4,999,5.82,
30/11/2021 02:53,TB207,8400,Rev C,4,4,1888.32,
30/11/2021 03:33,TB207,6300,Rev C,4,999,4.126666667,
30/11/2021 03:33,TB207,6300,Rev C,4,4,1417.166667,
30/11/2021 03:33,TB207,6300,Rev C,3,1,4.606666667,
30/11/2021 03:33,TB207,6300,Rev C,3,2,1405.173333,
30/11/2021 04:18,TB207,13800,Rev A,4,1,16.77333333,
30/11/2021 04:18,TB207,13800,Rev A,4,1,3070.5,
30/11/2021 04:18,TB207,13800,Rev A,3,999,14.78,
30/11/2021 04:18,TB207,13800,Rev A,3,-1,3058.54,
30/11/2021 04:25,TB207,8400,Rev A,3,2,8.593333333,
30/11/2021 04:25,TB207,8400,Rev A,3,2,1878.373333,
30/11/2021 04:38,TB207,13800,Rev C,3,999,14.53333333,
30/11/2021 04:38,TB207,13800,Rev C,3,-1,3059.966667,
30/11/2021 04:44,TB207,13800,Rev C,4,999,13.18,
30/11/2021 04:44,TB207,13800,Rev C,4,1,3073.3,
30/11/2021 06:28,TB207,6300,Rev A,4,2,5.16,
30/11/2021 06:28,TB207,6300,Rev A,4,2,1408.193333,
30/11/2021 06:34,TB207,8400,Rev A,4,999,6.013333333,
30/11/2021 06:34,TB207,8400,Rev A,4,3,1880.18,
30/11/2021 06:40,TB207,6300,Rev C,4,999,3.426666667,
30/11/2021 06:40,TB207,6300,Rev C,4,4,1414.873333,
30/11/2021 06:45,TB207,8400,Rev C,4,999,6.793333333,
30/11/2021 06:45,TB207,8400,Rev C,4,2,1873.906667,
30/11/2021 06:52,TB207,13800,Rev A,4,999,15.16666667,
30/11/2021 06:52,TB207,13800,Rev A,4,1,3069.053333,
30/11/2021 07:21,TB207,8400,Rev A,4,999,6.313333333,
30/11/2021 07:21,TB207,8400,Rev A,4,1,1868.246667,
30/11/2021 07:28,TB207,6300,Rev C,4,2,5.246666667,
30/11/2021 07:28,TB207,6300,Rev C,4,1,1403.38,
30/11/2021 07:33,TB207,8400,Rev C,4,999,6.186666667,
30/11/2021 07:33,TB207,8400,Rev C,4,1,1868.046667,
30/11/2021 07:39,TB207,6300,Rev A,4,999,3.573333333,
30/11/2021 07:39,TB207,6300,Rev A,4,1,1402.54,
06/12/2021 18:38,TB207,13800,Rev A,3,999,14.42666667,
06/12/2021 18:38,TB207,13800,Rev A,3,-2,3049.28,
